LCS_Process_ID,Life_cycle_stage,Process_name,Region,Dataset_name,Unit_of_measure,Data_source,UUID,TeR,GR,TiR,P,PEF_DQR
Trims,LCS1,"Zipper tape or puller, plastic",GLO,"Zipper tape and puller, plastic {GLO} | production, at plant | 1kg of product, nylon zipper | LCI result",kg,EF Database 3.1,00d09aaa-f6b8-5e16-bbc5-4f74d571366f,"  1,96 ","  1,96 ","  1,02 ","  1,78 ","  1,68 "
Dyeing - Apparel,LCS2,"Dyeing, batch (incl. piece, jet, jig, kier [fiber], paddle, pad-batch, yarn), direct, sulfur, vat or reactive dyes",GLO,"Dyeing, batch (incl. piece, jet, jig, kier [fiber], paddle, pad-batch, yarn), direct, sulfur, vat or reactive dyes {GLO} | Dyeing | production mix, at plant | textile service for 1 kg of fabric | LCI result",kg,EF Database 3.1,00fc088d-bc5f-5266-9e4a-086cfb653d2c,"  1,49 ","  1,49 ","  2,02 ","  1,88 ","  1,72 "
Tertiary packaging - apparel,LCS1,Shrink film,Europe,"Plastic, shrink wrap {EU+EFTA+UK} | raw material production, plastic extrusion | production mix, at plant | thickness: 120 um, grammage: 0,11016 kg/m2 | LCI result",m2,EF Database 3.1,017de0d2-c8f8-4208-b1b5-357a815f2dd8,"  2,00 ","  2,00 ","  2,00 ","  2,00 ","  2,00 "
BOM - Footwear,LCS1,Vinyl acetate,GLO,"Ethylene vinyl acetate copolymer {GLO} | Technology mix | Production mix, at plant | LCI result",kg,EF Database 3.1,0259ff8c-04c1-4caf-985b-c86f3bc435da,"  2,80 ","  2,80 ","  2,40 ","  2,70 ","  2,68 "
End-of-life for intermediate product packaging,LCS2,"Incineration, pallet",Europe,"Waste incineration of processed wood {EU+EFTA+UK} | waste-to-energy plant with dry flue gas treatment, including transport and pre-treatment | production mix, at consumer | wood waste | LCI result",kg,EF Database 3.1,034b2afb-2aa4-4d64-99b5-f39f700f3d44,"  2,00 ","  1,00 ","  1,00 ","  2,00 ","  1,50 "
End-of-life for intermediate product packaging,LCS2,"Incineration, LDPE",Europe,"Waste incineration of PE {EU+EFTA+UK} | waste-to-energy plant with dry flue gas treatment, including transport and pre-treatment | production mix, at consumer | polyethylene waste | LCI result",kg,EF Database 3.1,0370baaf-8923-4e26-b3b8-abcebb89f974,"  2,00 ","  1,00 ","  1,00 ","  2,00 ","  1,50 "
End-of-life for intermediate product packaging,LCS2,"Virgin, LDPE",Europe,"Low density polyethylene (LDPE), fossil fuel-based {GLO} | polymerisation of fossil-based ethylene | production mix, at plant | petrochemical based | LCI result",kg,EF Database 3.1,03af7382-7420-5934-a943-8481e4d9ebbf,"  1,43 ","  1,82 ","  1,00 ","  1,84 ","  1,52 "
End-of-life for intermediate product packaging,LCS2,"Landfill, pallet",Europe,"Landfill of processed wood {EU+EFTA+UK} | landfill including leachate treatment and with transport without collection and pre-treatment | production mix (region specific sites), at landfill site | The carbon and water content are respectively of 45%C and and 8% Water (in weight %) | LCI result",kg,EF Database 3.1,0907b969-c8a5-4317-84b3-04ad0a04447e,"  2,00 ","  2,00 ","  2,00 ","  2,00 ","  2,00 "
Component manufacturing - Footwear,LCS2,Sewing,GLO,"Sewing {GLO} | sewing process | production mix, at plant | service for 1 pair | LCI result",p,EF Database 3.1,095fd655-ce3c-5134-86a7-37c3236f6f08,"  1,00 ","  2,48 ","  1,00 ","  2,00 ","  1,62 "
Component manufacturing - Footwear,LCS2,Lasting,GLO,"Lasting, strobel {GLO} | lasting process | production mix, at plant | service | LCI result",p,EF Database 3.1,09d7db4c-f56c-5f1b-a3d1-d46767293282,"  1,69 ","  2,17 ","  1,00 ","  2,00 ","  1,72 "
