business_scenario,subcategory,packaging_type,item,amount_kg_per_piece,source
retail_instore,apparel,primary,polybag,0.02,PEFCR A&F v3.1 Tables 29-31
retail_instore,apparel,primary,polybag,0.01,PEFCR A&F v3.1 Tables 29-31
retail_instore,apparel,primary,paper_bag,0.022,PEFCR A&F v3.1 Tables 29-31
retail_instore,apparel,primary,hangtag_paper,0.001,PEFCR A&F v3.1 Tables 29-31
retail_instore,apparel,primary,hangtag_plastic,0.001,PEFCR A&F v3.1 Tables 29-31
retail_instore,apparel,secondary,corrugated_cardboard,0.06,PEFCR A&F v3.1 Tables 29-31
retail_instore,apparel,tertiary,pallet_wood,0.001,PEFCR A&F v3.1 Tables 29-31
retail_instore,apparel,tertiary,shrink_film,0.001,PEFCR A&F v3.1 Tables 29-31
retail_instore,footwear,primary,polybag,0.01,PEFCR A&F v3.1 Tables 29-31
retail_instore,footwear,primary,paper_bag,0.022,PEFCR A&F v3.1 Tables 29-31
retail_instore,footwear,primary,corrugated_cardboard,0.2,PEFCR A&F v3.1 Tables 29-31
retail_instore,footwear,primary,hangtag_paper,0.001,PEFCR A&F v3.1 Tables 29-31
retail_instore,footwear,primary,hangtag_plastic,0.001,PEFCR A&F v3.1 Tables 29-31
retail_instore,footwear,primary,cellulose_paper,0.1,PEFCR A&F v3.1 Tables 29-31
retail_instore,footwear,secondary,corrugated_cardboard,0.06,PEFCR A&F v3.1 Tables 29-31
retail_instore,footwear,tertiary,pallet_wood,0.001,PEFCR A&F v3.1 Tables 29-31
retail_instore,footwear,tertiary,shrink_film,0.001,PEFCR A&F v3.1 Tables 29-31
ecommerce,apparel,primary,corrugated_cardboard,0.06,PEFCR A&F v3.1 Tables 29-31
ecommerce,apparel,primary,polybag,0.02,PEFCR A&F v3.1 Tables 29-31
ecommerce,apparel,primary,paper_bag,0.022,PEFCR A&F v3.1 Tables 29-31
ecommerce,apparel,primary,hangtag_paper,0.001,PEFCR A&F v3.1 Tables 29-31
ecommerce,apparel,primary,hangtag_plastic,0.001,PEFCR A&F v3.1 Tables 29-31
ecommerce,apparel,secondary,corrugated_cardboard,0.06,PEFCR A&F v3.1 Tables 29-31
ecommerce,apparel,tertiary,pallet_wood,0.001,PEFCR A&F v3.1 Tables 29-31
ecommerce,apparel,tertiary,shrink_film,0.001,PEFCR A&F v3.1 Tables 29-31
ecommerce,footwear,primary,corrugated_cardboard,0.2,PEFCR A&F v3.1 Tables 29-31
ecommerce,footwear,primary,paper_bag,0.022,PEFCR A&F v3.1 Tables 29-31
ecommerce,footwear,primary,hangtag_paper,0.001,PEFCR A&F v3.1 Tables 29-31
ecommerce,footwear,primary,hangtag_plastic,0.001,PEFCR A&F v3.1 Tables 29-31
ecommerce,footwear,primary,cellulose_paper,0.1,PEFCR A&F v3.1 Tables 29-31
ecommerce,footwear,secondary,corrugated_cardboard,0.06,PEFCR A&F v3.1 Tables 29-31
ecommerce,footwear,tertiary,pallet_wood,0.001,PEFCR A&F v3.1 Tables 29-31
ecommerce,footwear,tertiary,shrink_film,0.001,PEFCR A&F v3.1 Tables 29-31
f2c,apparel,primary,polybag,0.02,PEFCR A&F v3.1 Tables 29-31
f2c,apparel,primary,hangtag_paper,0.001,PEFCR A&F v3.1 Tables 29-31
f2c,apparel,primary,hangtag_plastic,0.001,PEFCR A&F v3.1 Tables 29-31
f2c,apparel,secondary,corrugated_cardboard,0.06,PEFCR A&F v3.1 Tables 29-31
f2c,apparel,tertiary,pallet_wood,0.001,PEFCR A&F v3.1 Tables 29-31
f2c,apparel,tertiary,shrink_film,0.001,PEFCR A&F v3.1 Tables 29-31
f2c,footwear,primary,corrugated_cardboard,0.2,PEFCR A&F v3.1 Tables 29-31
f2c,footwear,primary,hangtag_paper,0.001,PEFCR A&F v3.1 Tables 29-31
f2c,footwear,primary,hangtag_plastic,0.001,PEFCR A&F v3.1 Tables 29-31
f2c,footwear,primary,cellulose_paper,0.1,PEFCR A&F v3.1 Tables 29-31
f2c,footwear,secondary,corrugated_cardboard,0.06,PEFCR A&F v3.1 Tables 29-31
f2c,footwear,tertiary,pallet_wood,0.001,PEFCR A&F v3.1 Tables 29-31
f2c,footwear,tertiary,shrink_film,0.001,PEFCR A&F v3.1 Tables 29-31
