scenario,subcategory,pack_type,material,amount_kg_per_piece,note
retail,apparel,primary,polybag_ldpe,0.02,PEFCR A&F v3.1 Tables 29-31
retail,apparel,primary,polybag_ldpe,0.01,PEFCR A&F v3.1 Tables 29-31
retail,apparel,primary,paper_bag_kraft,0.022,PEFCR A&F v3.1 Tables 29-31
retail,apparel,primary,hangtag_paper_m2,0.001,PEFCR A&F v3.1 Tables 29-31
retail,apparel,primary,hangtag_plastic_m2,0.001,PEFCR A&F v3.1 Tables 29-31
retail,apparel,secondary,corrugated_cardboard,0.06,PEFCR A&F v3.1 Tables 29-31
retail,apparel,tertiary,pallet_wood,0.001,PEFCR A&F v3.1 Tables 29-31
retail,apparel,tertiary,shrink_film_m2,0.001,PEFCR A&F v3.1 Tables 29-31
retail,footwear,primary,polybag_ldpe,0.01,PEFCR A&F v3.1 Tables 29-31
retail,footwear,primary,paper_bag_kraft,0.022,PEFCR A&F v3.1 Tables 29-31
retail,footwear,primary,corrugated_cardboard,0.2,PEFCR A&F v3.1 Tables 29-31
retail,footwear,primary,hangtag_paper_m2,0.001,PEFCR A&F v3.1 Tables 29-31
retail,footwear,primary,hangtag_plastic_m2,0.001,PEFCR A&F v3.1 Tables 29-31
retail,footwear,primary,kraft_paper,0.1,PEFCR A&F v3.1 Tables 29-31
retail,footwear,secondary,corrugated_cardboard,0.06,PEFCR A&F v3.1 Tables 29-31
retail,footwear,tertiary,pallet_wood,0.001,PEFCR A&F v3.1 Tables 29-31
retail,footwear,tertiary,shrink_film_m2,0.001,PEFCR A&F v3.1 Tables 29-31
ecommerce,apparel,primary,corrugated_cardboard,0.06,PEFCR A&F v3.1 Tables 29-31
ecommerce,apparel,primary,polybag_ldpe,0.02,PEFCR A&F v3.1 Tables 29-31
ecommerce,apparel,primary,paper_bag_kraft,0.022,PEFCR A&F v3.1 Tables 29-31
ecommerce,apparel,primary,hangtag_paper_m2,0.001,PEFCR A&F v3.1 Tables 29-31
ecommerce,apparel,primary,hangtag_plastic_m2,0.001,PEFCR A&F v3.1 Tables 29-31
ecommerce,apparel,secondary,corrugated_cardboard,0.06,PEFCR A&F v3.1 Tables 29-31
ecommerce,apparel,tertiary,pallet_wood,0.001,PEFCR A&F v3.1 Tables 29-31
ecommerce,apparel,tertiary,shrink_film_m2,0.001,PEFCR A&F v3.1 Tables 29-31
ecommerce,footwear,primary,corrugated_cardboard,0.2,PEFCR A&F v3.1 Tables 29-31
ecommerce,footwear,primary,paper_bag_kraft,0.022,PEFCR A&F v3.1 Tables 29-31
ecommerce,footwear,primary,hangtag_paper_m2,0.001,PEFCR A&F v3.1 Tables 29-31
ecommerce,footwear,primary,hangtag_plastic_m2,0.001,PEFCR A&F v3.1 Tables 29-31
ecommerce,footwear,primary,kraft_paper,0.1,PEFCR A&F v3.1 Tables 29-31
ecommerce,footwear,secondary,corrugated_cardboard,0.06,PEFCR A&F v3.1 Tables 29-31
ecommerce,footwear,tertiary,pallet_wood,0.001,PEFCR A&F v3.1 Tables 29-31
ecommerce,footwear,tertiary,shrink_film_m2,0.001,PEFCR A&F v3.1 Tables 29-31
f2c,apparel,primary,polybag_ldpe,0.02,PEFCR A&F v3.1 Tables 29-31
f2c,apparel,primary,hangtag_paper_m2,0.001,PEFCR A&F v3.1 Tables 29-31
f2c,apparel,primary,hangtag_plastic_m2,0.001,PEFCR A&F v3.1 Tables 29-31
f2c,apparel,secondary,corrugated_cardboard,0.06,PEFCR A&F v3.1 Tables 29-31
f2c,apparel,tertiary,pallet_wood,0.001,PEFCR A&F v3.1 Tables 29-31
f2c,apparel,tertiary,shrink_film_m2,0.001,PEFCR A&F v3.1 Tables 29-31
f2c,footwear,primary,corrugated_cardboard,0.2,PEFCR A&F v3.1 Tables 29-31
f2c,footwear,primary,hangtag_paper_m2,0.001,PEFCR A&F v3.1 Tables 29-31
f2c,footwear,primary,hangtag_plastic_m2,0.001,PEFCR A&F v3.1 Tables 29-31
f2c,footwear,primary,kraft_paper,0.1,PEFCR A&F v3.1 Tables 29-31
f2c,footwear,secondary,corrugated_cardboard,0.06,PEFCR A&F v3.1 Tables 29-31
f2c,footwear,tertiary,pallet_wood,0.001,PEFCR A&F v3.1 Tables 29-31
f2c,footwear,tertiary,shrink_film_m2,0.001,PEFCR A&F v3.1 Tables 29-31
