item,key
polybag,polybag_ldpe
paper_bag,paper_bag_kraft
corrugated_cardboard,corrugated_cardboard
cardboard,corrugated_cardboard
hangtag_paper,hangtag_paper_m2
hangtag_plastic,hangtag_plastic_m2
pallet,pallet_wood
pallet_wood,pallet_wood
shrink_film,shrink_film_m2
cellulose_paper,kraft_paper
pack_card,corrugated_cardboard
pack_cardboard,corrugated_cardboard
cardboard_box,corrugated_cardboard
paper_mailer,paper_bag_kraft
mailing_bag_paper,paper_bag_kraft
hangtag_paper,hangtag_paper_m2
hangtag_plastic,hangtag_plastic_m2
polybag_ldpe,polybag_ldpe
shrink_film,shrink_film_m2
pallet_wood,pallet_wood
