uuid,dataset_name,process_type,lci_file,fu_amount,fu_unit,region,classification,kg_per_m2,temp_c,technology,notes
b7413d30-533a-5128-a5ff-af5d0ee256f7,,agriculture,processes/b7413d30-533a-5128-a5ff-af5d0ee256f7.xml,1,kg,RAS,agriculture,,,This process takes into account only the cultivation and the processing  of bamboo using Alkali extr,scraped_from_ilcd
72dcc225-7342-5d0c-bec5-55ac65af90ac,,agriculture,processes/72dcc225-7342-5d0c-bec5-55ac65af90ac.xml,1,kg,GLO,agriculture,,,"The steps that take place for the processing of raw pelts into dressed wild fur are Soaking, Wetting",scraped_from_ilcd
6aaf5715-313b-5223-8ec0-7e77b95e4ebf,,agriculture,processes/6aaf5715-313b-5223-8ec0-7e77b95e4ebf.xml,1,kg,GLO,agriculture,,,Kapok fibre can be harvested directly from the kapok tree. Kapok trees grown in tropical southern As,scraped_from_ilcd
5ce7b98f-a0a1-5fac-9ea5-198a7fadd51a,,agriculture,processes/5ce7b98f-a0a1-5fac-9ea5-198a7fadd51a.xml,1,kg,AU,agriculture,,,"System boundaries include all the stages needed for the processing of raw wool (Scouring, spinning a",scraped_from_ilcd
4d032938-4e29-54a0-8633-c08c7028802c,,agriculture,processes/4d032938-4e29-54a0-8633-c08c7028802c.xml,1,kg,AU,agriculture,,,"System boundaries include all the stages needed for the processing of raw wool (Scouring, spinning a",scraped_from_ilcd
61f6a54a-529a-52db-9b56-09bf85b69b98,,agriculture,processes/61f6a54a-529a-52db-9b56-09bf85b69b98.xml,1,kg,GLO,agriculture,,,Kenaf fibre is produced from the plant Hibiscus cannabinus. Mature kenaf stalks are manually harvest,scraped_from_ilcd
8d73a1a5-5bf1-5d53-aada-7d638d317126,,agriculture,processes/8d73a1a5-5bf1-5d53-aada-7d638d317126.xml,1,kg,GLO,agriculture,,,Kenaf fibre is produced from the plant Hibiscus cannabinus. Mature kenaf stalks are manually harvest,scraped_from_ilcd
f3aec95e-2543-51b9-bcd7-4240c78b063e,,agriculture,processes/f3aec95e-2543-51b9-bcd7-4240c78b063e.xml,1,kg,ZA,agriculture,,,"System boundaries include all the stages needed for the processing of raw wool (Scouring, spinning a",scraped_from_ilcd
37da5d59-4033-5e04-8522-f61780d29766,,agriculture,processes/37da5d59-4033-5e04-8522-f61780d29766.xml,1,kg,AU,agriculture,,,"System boundaries include all the stages needed for the processing of raw wool (Scouring, spinning a",scraped_from_ilcd
a1a36df4-462c-5a6f-a000-99c6fd263315,,agriculture,processes/a1a36df4-462c-5a6f-a000-99c6fd263315.xml,1,kg,AU,agriculture,,,"System boundaries include all the stages needed for the processing of raw wool (Scouring, spinning a",scraped_from_ilcd
3afdc359-d048-5632-90e3-a86d5483a324,,agriculture,processes/3afdc359-d048-5632-90e3-a86d5483a324.xml,1,kg,GLO,agriculture,,,Jute fibre is produced from the jute plant. Mature jute stalks are manually harvested in bundles. In,scraped_from_ilcd
f41daa6a-e951-52e4-b1d6-00a279bbe438,,agriculture,processes/f41daa6a-e951-52e4-b1d6-00a279bbe438.xml,1,kg,GLO,agriculture,,,Kenaf fibre is produced from the plant Hibiscus cannabinus. Mature kenaf stalks are manually harvest,scraped_from_ilcd
5ed12b91-5c0a-5655-9f01-921ee62324ae,,agriculture,processes/5ed12b91-5c0a-5655-9f01-921ee62324ae.xml,1,kg,GLO,agriculture,,,"The steps that take place for the processing of raw pelts into dressed wild fur are Soaking, Wetting",scraped_from_ilcd
11fae08e-da32-5170-a4d7-1e157dec85dd,,agriculture,processes/11fae08e-da32-5170-a4d7-1e157dec85dd.xml,1,kg,GLO,agriculture,,,Jute fibre is produced from the jute plant. Mature jute stalks are manually harvested in bundles. In,scraped_from_ilcd
84964dc8-f1f4-572a-82bd-1e15318fed4e,,agriculture,processes/84964dc8-f1f4-572a-82bd-1e15318fed4e.xml,1,kg,AU,agriculture,,,"System boundaries include all the stages needed for the processing of raw wool (Scouring, spinning a",scraped_from_ilcd
7d04102a-3d30-5e70-bc33-ae2e47ce3edf,,agriculture,processes/7d04102a-3d30-5e70-bc33-ae2e47ce3edf.xml,1,kg,GLO,agriculture,,,"The steps that take place for the processing of raw pelts into dressed karakul fur are Soaking, Wett",scraped_from_ilcd
392f6cdf-e657-5a21-ade8-5196790a4617,,agriculture,processes/392f6cdf-e657-5a21-ade8-5196790a4617.xml,1,kg,ZA,agriculture,,,"System boundaries include all the stages needed for the processing of raw wool (Scouring, spinning a",scraped_from_ilcd
65a95677-9e52-5581-b86d-0c8e2a16831f,,agriculture,processes/65a95677-9e52-5581-b86d-0c8e2a16831f.xml,1,kg,GLO,agriculture,,,"System boundary: From animal at farm or in wild to slaughterhouse gate
Includes:
- Hunting/Farming s",scraped_from_ilcd
2fa1f180-71c1-5554-a448-d77415a6286d,,agriculture,processes/2fa1f180-71c1-5554-a448-d77415a6286d.xml,1,kg,GLO,agriculture,,,"The steps that take place for the processing of raw pelts into dressed mink fur are Soaking, Wetting",scraped_from_ilcd
c0e4bb6f-0e84-5659-b9f0-0b290e692719,,agriculture,processes/c0e4bb6f-0e84-5659-b9f0-0b290e692719.xml,1,kg,ZA,agriculture,,,"System boundaries include all the stages needed for the processing of raw wool (Scouring, spinning a",scraped_from_ilcd
f34c1c90-60d0-599b-82be-bc5a47137cf7,,agriculture,processes/f34c1c90-60d0-599b-82be-bc5a47137cf7.xml,1,kg,GLO,agriculture,,,"In this model, the machine used for processing polyurethane is injection molding machine. Pressured ",scraped_from_ilcd
