uuid,dataset_name,process_type,lci_file,fu_amount,fu_unit,region,classification,kg_per_m2,temp_c,technology,notes
7e35ec98-9c0a-5809-8c8b-16ed55d0e575,,eol,processes/7e35ec98-9c0a-5809-8c8b-16ed55d0e575.xml,1,kg,EU+EFTA+UK,eol,,,The production of bark at the sawmill starts with the sorting of the saw log at the sawmill and ends,scraped_from_ilcd
4a1688ae-068e-4768-a967-2090e95db685,,eol,processes/4a1688ae-068e-4768-a967-2090e95db685.xml,1,kg,EU+EFTA+UK,eol,,,The data set represents the enclosed composting of an average mixture of biodegradable waste consist,scraped_from_ilcd
e0b427e7-280e-5b6f-8d2c-ec4b4c1a4d85,,eol,processes/e0b427e7-280e-5b6f-8d2c-ec4b4c1a4d85.xml,1,kg,RSA,eol,,,The process of composting can occur either in open air or in closed systems. Open air systems entail,scraped_from_ilcd
91ea8dd0-d9fa-40ff-8786-ce362af93902,,eol,processes/91ea8dd0-d9fa-40ff-8786-ce362af93902.xml,1,kg,RNA,eol,,,The data set represents the enclosed composting of an average mixture of biodegradable waste consist,scraped_from_ilcd
8f672e3f-d191-55cb-90f1-5dee9c0ceb1a,,eol,processes/8f672e3f-d191-55cb-90f1-5dee9c0ceb1a.xml,1,kg,EU+EFTA+UK,eol,,,The process of composting can occur either in open air or in closed systems. Open air systems entail,scraped_from_ilcd
b151363e-5640-4861-a57f-2816d7e3ff1e,,eol,processes/b151363e-5640-4861-a57f-2816d7e3ff1e.xml,1,kg,EU+EFTA+UK,eol,,,"Plastic waste (pre-consumer, mono-grade) is generated in the process. The amount of waste is paramet",scraped_from_ilcd
f6b31664-d8a5-44f3-b91c-a71f9025bdc5,,eol,processes/f6b31664-d8a5-44f3-b91c-a71f9025bdc5.xml,1,kg,EU+EFTA+UK,eol,,,"Plastic waste (pre-consumer, mono-grade) is generated in the process. The amount of waste is paramet",scraped_from_ilcd
b5423dbd-f7fa-5f7b-91d2-3c54f357a2a5,,eol,processes/b5423dbd-f7fa-5f7b-91d2-3c54f357a2a5.xml,1,kg,RAS,eol,,,The process of composting can occur either in open air or in closed systems. Closed systems refer to,scraped_from_ilcd
210b2d28-6218-4a73-a5b9-e8310d2d5a59,,eol,processes/210b2d28-6218-4a73-a5b9-e8310d2d5a59.xml,1,kg,EU+EFTA+UK,eol,,,"Mixed plastic waste (pre-consumer, but not mono-grade) is generated in the process. The amount of wa",scraped_from_ilcd
255fa38d-783e-4f77-aca3-f246d74f751b,,eol,processes/255fa38d-783e-4f77-aca3-f246d74f751b.xml,1,kg,EU+EFTA+UK,eol,,,"Mixed plastic waste (pre-consumer, but not mono-grade) is generated in the process. The amount of wa",scraped_from_ilcd
e49f39be-b962-5c1a-8a81-d94d64aa2f5e,,eol,processes/e49f39be-b962-5c1a-8a81-d94d64aa2f5e.xml,1,kg,RAF,eol,,,The process of composting can occur either in open air or in closed systems. Open air systems entail,scraped_from_ilcd
d102a2e6-7d03-4ad2-a4c6-24cf0ebeb4b8,,eol,processes/d102a2e6-7d03-4ad2-a4c6-24cf0ebeb4b8.xml,1,kg,RAF,eol,,,The data set represents the open windrow composting of an average mixture of biodegradable waste con,scraped_from_ilcd
102bab41-317e-4a55-9bad-29e43b9de4bb,,eol,processes/102bab41-317e-4a55-9bad-29e43b9de4bb.xml,1,kg,EU+EFTA+UK,eol,,,"Plastic waste (pre-consumer, mono-grade but parly containing blowing agent) is generated in the proc",scraped_from_ilcd
7727f81d-47e4-5817-ac0d-a80356abdcbb,,eol,processes/7727f81d-47e4-5817-ac0d-a80356abdcbb.xml,1,kg,RSA,eol,,,The process of composting can occur either in open air or in closed systems. Open air systems entail,scraped_from_ilcd
b0883b8d-25e9-4239-a43e-c341f712e090,,eol,processes/b0883b8d-25e9-4239-a43e-c341f712e090.xml,1,kg,RSA,eol,,,The data set represents the open windrow composting of an average mixture of biodegradable waste con,scraped_from_ilcd
5f5a3263-747c-5b34-a837-80f332a3301d,,eol,processes/5f5a3263-747c-5b34-a837-80f332a3301d.xml,1,kg,DE,eol,,,The process of composting can occur either in open air or in closed systems. Open air systems entail,scraped_from_ilcd
f47c39b0-aafe-5789-b051-4e996efda53a,,eol,processes/f47c39b0-aafe-5789-b051-4e996efda53a.xml,1,kg,RAF,eol,,,The process of composting can occur either in open air or in closed systems. Closed systems refer to,scraped_from_ilcd
0196bd17-622e-51b1-a0b4-779f9401b5cd,,eol,processes/0196bd17-622e-51b1-a0b4-779f9401b5cd.xml,1,kg,RAF,eol,,,The process of composting can occur either in open air or in closed systems. Closed systems refer to,scraped_from_ilcd
c83f3ebb-5dc8-4047-8dcc-f0ed6713893f,,eol,processes/c83f3ebb-5dc8-4047-8dcc-f0ed6713893f.xml,1,kg,EU+EFTA+UK,eol,,,"Plastic waste (pre-consumer, mono-grade) is generated in the process. The amount of waste is paramet",scraped_from_ilcd
a9673049-efe6-51ed-893a-cef5cdeb6261,,eol,processes/a9673049-efe6-51ed-893a-cef5cdeb6261.xml,1,kg,EU+EFTA+UK,eol,,,The production of bark at the sawmill starts with the sorting of the saw log at the sawmill and ends,scraped_from_ilcd
a75c2555-01ec-5ac2-afd4-ddafcf831c24,,eol,processes/a75c2555-01ec-5ac2-afd4-ddafcf831c24.xml,1,kg,RAS,eol,,,The process of composting can occur either in open air or in closed systems. Closed systems refer to,scraped_from_ilcd
4e990b33-61fe-5826-a382-dcf8c011767f,,eol,processes/4e990b33-61fe-5826-a382-dcf8c011767f.xml,1,kg,EU+EFTA+UK,eol,,,The process of composting can occur either in open air or in closed systems. Closed systems refer to,scraped_from_ilcd
551259ef-7c52-5b2c-851f-7dba5368fea4,,eol,processes/551259ef-7c52-5b2c-851f-7dba5368fea4.xml,1,kg,RAF,eol,,,The process of composting can occur either in open air or in closed systems. Closed systems refer to,scraped_from_ilcd
f8753b7c-b324-52b3-9d26-62497cec6b49,,eol,processes/f8753b7c-b324-52b3-9d26-62497cec6b49.xml,1,kg,RAF,eol,,,The process of composting can occur either in open air or in closed systems. Open air systems entail,scraped_from_ilcd
c2dc9c81-a351-578b-83ac-49211ea18a9f,,eol,processes/c2dc9c81-a351-578b-83ac-49211ea18a9f.xml,1,kg,EU+EFTA+UK,eol,,,The production of bark at the sawmill starts with the sorting of the saw log at the sawmill and ends,scraped_from_ilcd
912f5c64-6d33-55c5-8227-d30e9cea4c3c,,eol,processes/912f5c64-6d33-55c5-8227-d30e9cea4c3c.xml,1,kg,EU+EFTA+UK,eol,,,The process of composting can occur either in open air or in closed systems. Closed systems refer to,scraped_from_ilcd
a66ce9c2-eda7-5a12-a957-64793f93cbf3,,eol,processes/a66ce9c2-eda7-5a12-a957-64793f93cbf3.xml,1,kg,RSA,eol,,,The process of composting can occur either in open air or in closed systems. Closed systems refer to,scraped_from_ilcd
