uuid,dataset_name,process_type,lci_file,fu_amount,fu_unit,region,classification,kg_per_m2,temp_c,technology,notes
42afbf78-5509-446a-b65b-8f53c49bc5dc,,eol,processes/42afbf78-5509-446a-b65b-8f53c49bc5dc.xml,1,kg,RAF,eol,,,"The data set represents the incineration of waste, details about the waste composition, water conten",scraped_from_ilcd
98e0af06-0b2e-4a28-b6dd-9b629f7094fe,,eol,processes/98e0af06-0b2e-4a28-b6dd-9b629f7094fe.xml,1,kg,RAF,eol,,,"Foreground system:
The Sphera landfill model is adapted to the region of this dataset by using info",scraped_from_ilcd
ce53fdee-3b4f-4bc2-ad18-2a095fa18c0e,,eol,processes/ce53fdee-3b4f-4bc2-ad18-2a095fa18c0e.xml,1,kg,RAF,eol,,,"Foreground system:
The Sphera landfill model is adapted to the region of this dataset by using info",scraped_from_ilcd
29badb80-d1f6-4591-94d7-ab92a9f5e9bf,,eol,processes/29badb80-d1f6-4591-94d7-ab92a9f5e9bf.xml,1,kg,BE,eol,,,"The data set represents the incineration of waste, details about the waste composition, water conten",scraped_from_ilcd
b0769fb0-bd13-4b14-a400-47819103ad08,,eol,processes/b0769fb0-bd13-4b14-a400-47819103ad08.xml,1,kg,EU+EFTA+UK,eol,,,"Foreground system:
The data set represents a typical municipal waste landfill with surface and basi",scraped_from_ilcd
d348dff3-3a81-4312-adda-6826c62d1f6d,,eol,processes/d348dff3-3a81-4312-adda-6826c62d1f6d.xml,1,kg,RAS,eol,,,"The data set represents the incineration of waste, details about the waste composition, water conten",scraped_from_ilcd
96377442-d4f0-4810-a238-5d94e65b8363,,eol,processes/96377442-d4f0-4810-a238-5d94e65b8363.xml,1,kg,IT,eol,,,"The data set represents the incineration of waste, details about the waste composition, water conten",scraped_from_ilcd
458c9141-0247-4504-bd84-cff77c402552,,eol,processes/458c9141-0247-4504-bd84-cff77c402552.xml,1,kg,IE,eol,,,"The data set represents the incineration of waste, details about the waste composition, water conten",scraped_from_ilcd
4a1688ae-068e-4768-a967-2090e95db685,,eol,processes/4a1688ae-068e-4768-a967-2090e95db685.xml,1,kg,EU+EFTA+UK,eol,,,The data set represents the enclosed composting of an average mixture of biodegradable waste consist,scraped_from_ilcd
4e88a47c-198f-4081-9458-7cbab23ffafb,,eol,processes/4e88a47c-198f-4081-9458-7cbab23ffafb.xml,1,kg,EU+EFTA+UK,eol,,,"Foreground system:
The data set represents a typical municipal waste landfill with surface and basi",scraped_from_ilcd
6b0ce8b1-6ab7-4cca-b65a-33a80a341b74,,eol,processes/6b0ce8b1-6ab7-4cca-b65a-33a80a341b74.xml,1,kg,SE,eol,,,"The data set represents the incineration of waste, details about the waste composition, water conten",scraped_from_ilcd
e32ae633-f94f-4493-83a5-b600a91a6669,,eol,processes/e32ae633-f94f-4493-83a5-b600a91a6669.xml,1,kg,GLO,eol,,,"The data set represents the incineration of waste, details about the waste composition, water conten",scraped_from_ilcd
c4f853f3-18f3-4b01-9c58-5ed54f4f21a2,,eol,processes/c4f853f3-18f3-4b01-9c58-5ed54f4f21a2.xml,1,kg,EU+EFTA+UK,eol,,,"Foreground system:
The Sphera landfill model is adapted to the region of this dataset by using info",scraped_from_ilcd
c52112a6-d78b-4aef-8e1b-16dc3bdbeb6a,,eol,processes/c52112a6-d78b-4aef-8e1b-16dc3bdbeb6a.xml,1,kg,EU+EFTA+UK,eol,,,"Foreground system:
The data set represents a typical municipal waste landfill with surface and basi",scraped_from_ilcd
d288f9c1-6ca9-48a5-adbc-1100c303153e,,eol,processes/d288f9c1-6ca9-48a5-adbc-1100c303153e.xml,1,kg,ES,eol,,,"The data set represents the incineration of waste, details about the waste composition, water conten",scraped_from_ilcd
b561dd3d-156f-4bca-afc7-cac598f56825,,eol,processes/b561dd3d-156f-4bca-afc7-cac598f56825.xml,1,kg,ROC,eol,,,"The data set represents the incineration of waste, details about the waste composition, water conten",scraped_from_ilcd
cf50afa6-d85d-476c-b9d4-6783c47e31b5,,eol,processes/cf50afa6-d85d-476c-b9d4-6783c47e31b5.xml,1,kg,LT,eol,,,"The data set represents the incineration of waste, details about the waste composition, water conten",scraped_from_ilcd
9027b367-6fff-4119-a258-fc816400e529,,eol,processes/9027b367-6fff-4119-a258-fc816400e529.xml,1,kg,HU,eol,,,"The data set represents the incineration of waste, details about the waste composition, water conten",scraped_from_ilcd
57cc235c-e17b-44dd-92d1-deb93bcd48db,,eol,processes/57cc235c-e17b-44dd-92d1-deb93bcd48db.xml,1,kg,NO,eol,,,"The data set represents the incineration of waste, details about the waste composition, water conten",scraped_from_ilcd
951855b9-4387-446e-8c1e-d1f560989d6f,,eol,processes/951855b9-4387-446e-8c1e-d1f560989d6f.xml,1,kg,EE,eol,,,"The data set represents the incineration of waste, details about the waste composition, water conten",scraped_from_ilcd
fe26da3a-972b-43c3-820e-7ea1c1d7779a,,eol,processes/fe26da3a-972b-43c3-820e-7ea1c1d7779a.xml,1,kg,AT,eol,,,"The data set represents the incineration of waste, details about the waste composition, water conten",scraped_from_ilcd
00049d77-50e2-41fe-9cf2-dada347364c7,,eol,processes/00049d77-50e2-41fe-9cf2-dada347364c7.xml,1,kg,CY,eol,,,"Foreground system:
The residual mix is the grid attribute (emission, radioactive waste, etc.) avera",scraped_from_ilcd
e358dc52-db9b-4910-8534-e0e4fa6f40a2,,eol,processes/e358dc52-db9b-4910-8534-e0e4fa6f40a2.xml,1,kg,EE,eol,,,"The data set represents the incineration of waste, details about the waste composition, water conten",scraped_from_ilcd
