uuid,dataset_name,process_type,lci_file,fu_amount,fu_unit,region,classification,kg_per_m2,temp_c,technology,notes
bfa21636-e511-515a-8f49-e065556fe11a,,materials,processes/bfa21636-e511-515a-8f49-e065556fe11a.xml,1,kg,GLO,materials,,,"While Open End yarn production; electricity, heat energy are consumed and raw material wastes occurs",scraped_from_ilcd
f4972e14-90ee-5115-b2f7-d2796912ba41,,materials,processes/f4972e14-90ee-5115-b2f7-d2796912ba41.xml,1,kg,GLO,materials,,,"Yarn production activity includes Opening, Cleaning, Blending, Carding, Drafting, combing, roving, s",scraped_from_ilcd
430be454-6d52-5316-8536-48d8c6f79665,,materials,processes/430be454-6d52-5316-8536-48d8c6f79665.xml,1,kg,GLO,materials,,,Knitting is a method by which yarn is manipulated to create a textile or fabric. Seamless knitting r,scraped_from_ilcd
b70a3763-0a20-5967-9304-88bcf65a0fae,,materials,processes/b70a3763-0a20-5967-9304-88bcf65a0fae.xml,1,kg,GLO,materials,,,Weaving is a method of textile production in which two distinct sets of yarns or threads are interla,scraped_from_ilcd
d2202c90-aaa6-5f5e-abe3-ae55336589ea,,materials,processes/d2202c90-aaa6-5f5e-abe3-ae55336589ea.xml,1,kg,GLO,materials,,,"While Open End and Ring yarn production; electricity, heat energy are consumed and raw material wast",scraped_from_ilcd
5dbb0fcc-1210-53b6-895e-b23244cc2d76,,materials,processes/5dbb0fcc-1210-53b6-895e-b23244cc2d76.xml,1,kg,EU+EFTA+UK,materials,,,The process of fiberization can be energy intensive due to the high mechanical pressure required for,scraped_from_ilcd
84515059-3097-597c-b92d-f22c53015c46,,materials,processes/84515059-3097-597c-b92d-f22c53015c46.xml,1,kg,GLO,materials,,,Heat-setting process involves subjecting the fabric to dry hot air or steam heating for a few minute,scraped_from_ilcd
3f16a49a-5d6a-57a5-bb75-6f265e8b80ba,,materials,processes/3f16a49a-5d6a-57a5-bb75-6f265e8b80ba.xml,1,kg,GLO,materials,,,Flame lamination is used to adhere polyurethane foam to a textile material. A web of foam from a sup,scraped_from_ilcd
ab9d2586-641e-58be-9e18-284b04bbffb9,,materials,processes/ab9d2586-641e-58be-9e18-284b04bbffb9.xml,1,kg,GLO,materials,,,The hot cutting knife would melts the polymer filaments of the synthetic fabric precisely. Hot knife,scraped_from_ilcd
0aaa79a2-a70e-52a8-ad8c-c9f964a0cb01,,materials,processes/0aaa79a2-a70e-52a8-ad8c-c9f964a0cb01.xml,1,kg,GLO,materials,,,"While Open End yarn production; electricity, heat energy are consumed and raw material wastes occurs",scraped_from_ilcd
3b19c874-e1ba-5789-8cd6-9238f6ab3cf4,,materials,processes/3b19c874-e1ba-5789-8cd6-9238f6ab3cf4.xml,1,kg,GLO,materials,,,"Yarn production activity includes Opening, Cleaning, Blending, Carding, Drafting, combing, roving, s",scraped_from_ilcd
b4d98e10-da3e-58a2-a267-49715cec8577,,materials,processes/b4d98e10-da3e-58a2-a267-49715cec8577.xml,1,kg,GLO,materials,,,"Yarn production activity includes Opening, Cleaning, Blending, Carding, Drafting, combing, roving, s",scraped_from_ilcd
ee9683da-1c83-5767-92fb-7e6fbec5ef33,,materials,processes/ee9683da-1c83-5767-92fb-7e6fbec5ef33.xml,1,kg,GLO,materials,,,"Knitting is a method by which yarn is manipulated to create a textile or fabric.

A user employing t",scraped_from_ilcd
