uuid,dataset_name,process_type,lci_file,fu_amount,fu_unit,region,classification,kg_per_m2,temp_c,technology,notes
93c3bbda-0604-564f-ac1e-4a2b25b00f03,,packaging,processes/93c3bbda-0604-564f-ac1e-4a2b25b00f03.xml,1,kg,GLO,packaging,,,Hot -melt adhesives are thermoplastic and can be melted or softened by heat. When spread on the fabr,scraped_from_ilcd
0cc18fc1-d0dc-44a4-bfca-40cacc8870a5,,packaging,processes/0cc18fc1-d0dc-44a4-bfca-40cacc8870a5.xml,1,kg,EU+EFTA+UK,packaging,,,This dataset contains the production phase of the truck (capital goods) and the use phase of the tru,scraped_from_ilcd
c3e7925d-4d50-419d-9499-0431546457b6,,packaging,processes/c3e7925d-4d50-419d-9499-0431546457b6.xml,1,kg,EU+EFTA+UK,packaging,,,This dataset contains the production phase of the truck (capital goods) and the use phase of the tru,scraped_from_ilcd
0504dde3-a2ac-4469-a30b-cd7050bcae19,,packaging,processes/0504dde3-a2ac-4469-a30b-cd7050bcae19.xml,1,kg,ROW w/o EU+EFTA,packaging,,,This dataset contains the production phase of the truck (capital goods) and the use phase of the tru,scraped_from_ilcd
2d63a874-e874-5677-828d-7bd924dcf13c,,packaging,processes/2d63a874-e874-5677-828d-7bd924dcf13c.xml,1,kg,GLO,packaging,,,This dataset is modelled for repairing soles (gluing). The amount of adhesives / glue needed is prox,scraped_from_ilcd
db8e2fb2-41e0-47bb-889f-075bcf473d9b,,packaging,processes/db8e2fb2-41e0-47bb-889f-075bcf473d9b.xml,1,kg,EU+EFTA+UK,packaging,,,This dataset contains the production phase of the truck (capital goods) and the use phase of the tru,scraped_from_ilcd
6ad4fcd5-8cd0-58cf-aedf-17ad8714d642,,packaging,processes/6ad4fcd5-8cd0-58cf-aedf-17ad8714d642.xml,1,kg,GLO,packaging,,,"Care labels provide guidelines to consumers about apparel care, and the best cleaning procedures to ",scraped_from_ilcd
a8b72709-d19b-580c-8359-d173059dbc03,,packaging,processes/a8b72709-d19b-580c-8359-d173059dbc03.xml,1,kg,GLO,packaging,,,This dataset is modelled for repairing soles (gluing). The amount of adhesives / glue needed is prox,scraped_from_ilcd
566f6b40-c233-5d61-a2c7-a10fe3325c98,,packaging,processes/566f6b40-c233-5d61-a2c7-a10fe3325c98.xml,1,kg,GLO,packaging,,,Hot -melt adhesives are thermoplastic and can be melted or softened by heat. When spread on the fabr,scraped_from_ilcd
c5d52ea8-adba-5591-8134-b5fa15cab52f,,packaging,processes/c5d52ea8-adba-5591-8134-b5fa15cab52f.xml,1,kg,GLO,packaging,,,Polyethylene (PE) foam biogenic is produced from a direct foam extrusion process which is cross-link,scraped_from_ilcd
9d47ed53-704b-4978-963c-55b07e5d4bf6,,packaging,processes/9d47ed53-704b-4978-963c-55b07e5d4bf6.xml,1,kg,EU+EFTA+UK,packaging,,,This dataset contains the production phase of the truck (capital goods) and the use phase of the tru,scraped_from_ilcd
ab3644c4-b180-5bb5-9b76-9d34717ac2e1,,packaging,processes/ab3644c4-b180-5bb5-9b76-9d34717ac2e1.xml,1,kg,GLO,packaging,,,"When seam tape is heated up, the adhesive on the tape is activated. This activated tape is applied o",scraped_from_ilcd
69368f74-2ddc-486a-9dd5-591c60200638,,packaging,processes/69368f74-2ddc-486a-9dd5-591c60200638.xml,1,kg,EU+EFTA+UK,packaging,,,This dataset contains the production phase of the truck (capital goods) and the use phase of the tru,scraped_from_ilcd
c36a860a-f797-44df-b68d-036ed1dfd196,,packaging,processes/c36a860a-f797-44df-b68d-036ed1dfd196.xml,1,kg,ROW w/o EU+EFTA,packaging,,,This dataset contains the production phase of the truck (capital goods) and the use phase of the tru,scraped_from_ilcd
972e93a2-d95b-47cd-86c0-dedb5726ee88,,packaging,processes/972e93a2-d95b-47cd-86c0-dedb5726ee88.xml,1,kg,EU+EFTA+UK,packaging,,,This dataset contains the production phase of the truck (capital goods) and the use phase of the tru,scraped_from_ilcd
1cc5d465-a12a-43da-aa86-a9c6383c78ac,,packaging,processes/1cc5d465-a12a-43da-aa86-a9c6383c78ac.xml,1,kg,GLO,packaging,,,This dataset contains the production phase of the plane (capital goods) and the use phase of the pla,scraped_from_ilcd
f6879ae4-3783-4e96-99d0-c4685a6d992e,,packaging,processes/f6879ae4-3783-4e96-99d0-c4685a6d992e.xml,1,kg,EU+EFTA+UK,packaging,,,This dataset contains the production phase of the truck (capital goods) and the use phase of the tru,scraped_from_ilcd
