uuid,dataset_name,process_type,lci_file,fu_amount,fu_unit,region,classification,kg_per_m2,temp_c,technology,notes
93c3bbda-0604-564f-ac1e-4a2b25b00f03,,packaging,processes/93c3bbda-0604-564f-ac1e-4a2b25b00f03.xml,1,kg,GLO,packaging,,,Hot -melt adhesives are thermoplastic and can be melted or softened by heat. When spread on the fabr,scraped_from_ilcd
4e748210-990b-5202-b2db-b27c7eccd81b,,packaging,processes/4e748210-990b-5202-b2db-b27c7eccd81b.xml,1,kg,GLO,packaging,,,"This dataset consists of 2-5 layers water based glue lamination process mixture.

This dataset cover",scraped_from_ilcd
0cc18fc1-d0dc-44a4-bfca-40cacc8870a5,,packaging,processes/0cc18fc1-d0dc-44a4-bfca-40cacc8870a5.xml,1,kg,EU+EFTA+UK,packaging,,,This dataset contains the production phase of the truck (capital goods) and the use phase of the tru,scraped_from_ilcd
c3e7925d-4d50-419d-9499-0431546457b6,,packaging,processes/c3e7925d-4d50-419d-9499-0431546457b6.xml,1,kg,EU+EFTA+UK,packaging,,,This dataset contains the production phase of the truck (capital goods) and the use phase of the tru,scraped_from_ilcd
0504dde3-a2ac-4469-a30b-cd7050bcae19,,packaging,processes/0504dde3-a2ac-4469-a30b-cd7050bcae19.xml,1,kg,ROW w/o EU+EFTA,packaging,,,This dataset contains the production phase of the truck (capital goods) and the use phase of the tru,scraped_from_ilcd
2d63a874-e874-5677-828d-7bd924dcf13c,,packaging,processes/2d63a874-e874-5677-828d-7bd924dcf13c.xml,1,kg,GLO,packaging,,,This dataset is modelled for repairing soles (gluing). The amount of adhesives / glue needed is prox,scraped_from_ilcd
b295887b-9bd9-5ea1-8b13-7c3654acd3b6,,packaging,processes/b295887b-9bd9-5ea1-8b13-7c3654acd3b6.xml,1,kg,GLO,packaging,,,"This dataset consists of 2-5 layers water based glue lamination process mixture.

This dataset cover",scraped_from_ilcd
db8e2fb2-41e0-47bb-889f-075bcf473d9b,,packaging,processes/db8e2fb2-41e0-47bb-889f-075bcf473d9b.xml,1,kg,EU+EFTA+UK,packaging,,,This dataset contains the production phase of the truck (capital goods) and the use phase of the tru,scraped_from_ilcd
6ad4fcd5-8cd0-58cf-aedf-17ad8714d642,,packaging,processes/6ad4fcd5-8cd0-58cf-aedf-17ad8714d642.xml,1,kg,GLO,packaging,,,"Care labels provide guidelines to consumers about apparel care, and the best cleaning procedures to ",scraped_from_ilcd
a8b72709-d19b-580c-8359-d173059dbc03,,packaging,processes/a8b72709-d19b-580c-8359-d173059dbc03.xml,1,kg,GLO,packaging,,,This dataset is modelled for repairing soles (gluing). The amount of adhesives / glue needed is prox,scraped_from_ilcd
566f6b40-c233-5d61-a2c7-a10fe3325c98,,packaging,processes/566f6b40-c233-5d61-a2c7-a10fe3325c98.xml,1,kg,GLO,packaging,,,Hot -melt adhesives are thermoplastic and can be melted or softened by heat. When spread on the fabr,scraped_from_ilcd
68c0ac18-2d46-4f41-b307-4eb2b12d9597,,packaging,processes/68c0ac18-2d46-4f41-b307-4eb2b12d9597.xml,1,kg,GLO,packaging,,,"Foreground system:
Within the assembly process, SMD components sometimes need first to be glued ont",scraped_from_ilcd
9d47ed53-704b-4978-963c-55b07e5d4bf6,,packaging,processes/9d47ed53-704b-4978-963c-55b07e5d4bf6.xml,1,kg,EU+EFTA+UK,packaging,,,This dataset contains the production phase of the truck (capital goods) and the use phase of the tru,scraped_from_ilcd
ab4e945f-9955-4414-b3fb-d42507cc4e2d,,packaging,processes/ab4e945f-9955-4414-b3fb-d42507cc4e2d.xml,1,kg,EU+EFTA+UK,packaging,,,"All common types of furnace technology and colours of container glass (amber, green, flint and other",scraped_from_ilcd
ab3644c4-b180-5bb5-9b76-9d34717ac2e1,,packaging,processes/ab3644c4-b180-5bb5-9b76-9d34717ac2e1.xml,1,kg,GLO,packaging,,,"When seam tape is heated up, the adhesive on the tape is activated. This activated tape is applied o",scraped_from_ilcd
0f4d6b01-9c2f-5625-b33d-0630ef81c69f,,packaging,processes/0f4d6b01-9c2f-5625-b33d-0630ef81c69f.xml,1,kg,GLO,packaging,,,"This dataset covers machine electricity consumption, solvent based PU adhesive, solvent emissions.

",scraped_from_ilcd
