uuid,dataset_name,process_type,lci_file,fu_amount,fu_unit,region,classification,kg_per_m2,temp_c,technology,notes
c87d6156-9cbf-5d62-9f89-43e88c882eb8,,transport,processes/c87d6156-9cbf-5d62-9f89-43e88c882eb8.xml,1,kg,GLO,transport,,,"The process includes transport of raw materials, direct emissions, energy use, ancillary products, a",scraped_from_ilcd
fbb0f38c-2871-5edb-9c55-01961dbdead1,,transport,processes/fbb0f38c-2871-5edb-9c55-01961dbdead1.xml,1,kg,EU+EFTA+UK,transport,,,The dataset represents hardboard produced in the wet process. The process includes transport of raw ,scraped_from_ilcd
78208f8f-f633-506a-9103-40533937090e,,transport,processes/78208f8f-f633-506a-9103-40533937090e.xml,1,kg,EU+EFTA+UK,transport,,,The dataset represents hardboard produced in the wet process. The process includes transport of raw ,scraped_from_ilcd
c8cda687-4f7a-400a-8ede-421f34810161,,transport,processes/c8cda687-4f7a-400a-8ede-421f34810161.xml,1,kg,EU+EFTA+UK,transport,,,This dataset describes a ship transporting frozen products. Additional inventories due to cooling (e,scraped_from_ilcd
914bb533-00e8-5507-afe0-74f564a0b636,,transport,processes/914bb533-00e8-5507-afe0-74f564a0b636.xml,1,kg,EU+EFTA+UK,transport,,,"The process includes transport of raw materials, direct emissions, energy use, ancillary products, a",scraped_from_ilcd
cd838732-d718-54bf-87cb-ccdd1aba785d,,transport,processes/cd838732-d718-54bf-87cb-ccdd1aba785d.xml,1,kg,EU+EFTA+UK,transport,,,"The process includes transport of raw materials, direct emissions, energy use, ancillary products, a",scraped_from_ilcd
13e2d1dc-76ee-5174-94f6-074b48890447,,transport,processes/13e2d1dc-76ee-5174-94f6-074b48890447.xml,1,kg,EU+EFTA+UK,transport,,,The dataset represents hardboard produced in the wet process. The process includes transport of raw ,scraped_from_ilcd
374b0d46-6fb4-472c-903b-38e3755251fa,,transport,processes/374b0d46-6fb4-472c-903b-38e3755251fa.xml,1,kg,EU+EFTA+UK,transport,,,This dataset describes a ship transporting frozen products. Additional inventories due to cooling (e,scraped_from_ilcd
fbc827a9-87c9-4014-8ab8-053ffb166b62,,transport,processes/fbc827a9-87c9-4014-8ab8-053ffb166b62.xml,1,kg,GLO,transport,,,Rail transport via electric cargo train. Variable parameters (with default setting) are: utilisation,scraped_from_ilcd
2ca78cdd-5de2-5001-b0b0-fe2e0f949551,,transport,processes/2ca78cdd-5de2-5001-b0b0-fe2e0f949551.xml,1,kg,GLO,transport,,,"The process includes transport of raw materials, direct emissions, energy use, ancillary products, a",scraped_from_ilcd
05195cec-402b-569f-8910-9c5d89227104,,transport,processes/05195cec-402b-569f-8910-9c5d89227104.xml,1,kg,EU+EFTA+UK,transport,,,"The process includes transport of raw materials, direct emissions, energy use, ancillary products, a",scraped_from_ilcd
f3b326b4-583b-41ae-8272-9db3b7a44602,,transport,processes/f3b326b4-583b-41ae-8272-9db3b7a44602.xml,1,kg,EU+EFTA+UK,transport,,,The dataset describes the production of a fishing vessel made of wood with a defined size and a defi,scraped_from_ilcd
9a91ee77-0a7d-5621-80e5-bdca92b1299d,,transport,processes/9a91ee77-0a7d-5621-80e5-bdca92b1299d.xml,1,kg,GLO,transport,,,"The process includes transport of raw materials, direct emissions, energy use, ancillary products, a",scraped_from_ilcd
5d1b255f-653b-4c40-b63a-6108063015ac,,transport,processes/5d1b255f-653b-4c40-b63a-6108063015ac.xml,1,kg,EU+EFTA+UK,transport,,,This dataset describes a ship transporting frozen products. Additional inventories due to cooling (e,scraped_from_ilcd
c35745a8-0d5d-564f-96ae-22dc8f23bc15,,transport,processes/c35745a8-0d5d-564f-96ae-22dc8f23bc15.xml,1,kg,EU+EFTA+UK,transport,,,"The process includes transport of raw materials, direct emissions, energy use, ancillary products, a",scraped_from_ilcd
85da1651-65c4-4d75-b189-1833cc3130f8,,transport,processes/85da1651-65c4-4d75-b189-1833cc3130f8.xml,1,kg,GLO,transport,,,"Rail transport via diesel cargo train. Variable parameters are: distance, ppm_sulfur, share_CO2_bio,",scraped_from_ilcd
657853a3-7df7-4691-9d42-212d980a3f34,,transport,processes/657853a3-7df7-4691-9d42-212d980a3f34.xml,1,kg,EU+EFTA+UK,transport,,,The dataset describes the production of a fishing vessel made of wood with a defined size and a defi,scraped_from_ilcd
83720c51-2405-4010-9da5-ce74ead0c420,,transport,processes/83720c51-2405-4010-9da5-ce74ead0c420.xml,1,kg,GLO,transport,,,"Rail transport via diesel cargo train. Variable parameters are: distance, ppm_sulfur, share_CO2_bio,",scraped_from_ilcd
0240c3d8-fed5-545e-a01f-a03e7043998e,,transport,processes/0240c3d8-fed5-545e-a01f-a03e7043998e.xml,1,kg,GLO,transport,,,"The process includes transport of raw materials, direct emissions, energy use, ancillary products, a",scraped_from_ilcd
71b59d68-ffba-55cf-a087-ae8bb5836096,,transport,processes/71b59d68-ffba-55cf-a087-ae8bb5836096.xml,1,kg,EU+EFTA+UK,transport,,,"The process includes transport of raw materials, direct emissions, energy use, ancillary products, a",scraped_from_ilcd
d21131a6-7d5a-50bd-bbe3-9f5a21204057,,transport,processes/d21131a6-7d5a-50bd-bbe3-9f5a21204057.xml,1,kg,EU+EFTA+UK,transport,,,"The process includes transport of raw materials, direct emissions, energy use, ancillary products, a",scraped_from_ilcd
785266cb-3c36-40ac-a6fe-aca43b9b745c,,transport,processes/785266cb-3c36-40ac-a6fe-aca43b9b745c.xml,1,kg,GLO,transport,,,Rail transport via electric cargo train. Variable parameters (with default setting) are: utilisation,scraped_from_ilcd
a491a68a-c836-4593-ac13-44b4ddc559e0,,transport,processes/a491a68a-c836-4593-ac13-44b4ddc559e0.xml,1,kg,EU+EFTA+UK,transport,,,This dataset describes a ship transporting frozen products. Additional inventories due to cooling (e,scraped_from_ilcd
87611c36-0f3a-5910-8753-505d5e779fa9,,transport,processes/87611c36-0f3a-5910-8753-505d5e779fa9.xml,1,kg,EU+EFTA+UK,transport,,,"The process includes transport of raw materials, direct emissions, energy use, ancillary products, a",scraped_from_ilcd
7c663a80-1f82-5481-83ef-3ec03867c562,,transport,processes/7c663a80-1f82-5481-83ef-3ec03867c562.xml,1,kg,EU+EFTA+UK,transport,,,The dataset represents hardboard produced in the wet process. The process includes transport of raw ,scraped_from_ilcd
e6e9d3e0-d410-500d-819a-0650c890bede,,transport,processes/e6e9d3e0-d410-500d-819a-0650c890bede.xml,1,kg,EU+EFTA+UK,transport,,,"The process includes transport of raw materials, direct emissions, energy use, ancillary products, a",scraped_from_ilcd
