uuid,dataset_name,process_type,lci_file,fu_amount,fu_unit,region,classification,kg_per_m2,temp_c,technology,notes
fb0786e0-46ce-5c1f-8e1b-fc654e803ee9,,transport,processes/fb0786e0-46ce-5c1f-8e1b-fc654e803ee9.xml,1,kg,SE,transport,,,Sawdust is produced as a by-product of wood sawing. The sawdust is stored and transported within the,scraped_from_ilcd
c87d6156-9cbf-5d62-9f89-43e88c882eb8,,transport,processes/c87d6156-9cbf-5d62-9f89-43e88c882eb8.xml,1,kg,GLO,transport,,,"The process includes transport of raw materials, direct emissions, energy use, ancillary products, a",scraped_from_ilcd
c7f28f2a-f262-49ad-ba96-0cab313b186f,,transport,processes/c7f28f2a-f262-49ad-ba96-0cab313b186f.xml,1,kg,EU+EFTA+UK,transport,,,"Foreground system:
The metal waste is collected and transported to the recycling plant. The materia",scraped_from_ilcd
27f18feb-4aa7-4c49-a495-6849945890bf,,transport,processes/27f18feb-4aa7-4c49-a495-6849945890bf.xml,1,kg,EU+EFTA+UK,transport,,,"Foreground system:
Electronic waste is collected and transported to the recycling plant. The electr",scraped_from_ilcd
c69ed043-74c5-45eb-b683-e167fb2562df,,transport,processes/c69ed043-74c5-45eb-b683-e167fb2562df.xml,1,kg,GLO,transport,,,"Truck as heavy or light duty vehicle for road transport. Variable parameters are: payload, utilisati",scraped_from_ilcd
fbb0f38c-2871-5edb-9c55-01961dbdead1,,transport,processes/fbb0f38c-2871-5edb-9c55-01961dbdead1.xml,1,kg,EU+EFTA+UK,transport,,,The dataset represents hardboard produced in the wet process. The process includes transport of raw ,scraped_from_ilcd
78208f8f-f633-506a-9103-40533937090e,,transport,processes/78208f8f-f633-506a-9103-40533937090e.xml,1,kg,EU+EFTA+UK,transport,,,The dataset represents hardboard produced in the wet process. The process includes transport of raw ,scraped_from_ilcd
c8cda687-4f7a-400a-8ede-421f34810161,,transport,processes/c8cda687-4f7a-400a-8ede-421f34810161.xml,1,kg,EU+EFTA+UK,transport,,,This dataset describes a ship transporting frozen products. Additional inventories due to cooling (e,scraped_from_ilcd
bfbb1ce5-8e23-5b85-b444-6146069d62c0,,transport,processes/bfbb1ce5-8e23-5b85-b444-6146069d62c0.xml,1,kg,EU+EFTA+UK,transport,,,"This dataset includes the production of stone ground wood pulp (SGW), including transports to the pu",scraped_from_ilcd
df2438f7-1135-5a90-989f-fb2cd236d95a,,transport,processes/df2438f7-1135-5a90-989f-fb2cd236d95a.xml,1,kg,EU+EFTA+UK,transport,,,"This dataset includes the production of stone ground wood pulp (SGW), including transports to the pu",scraped_from_ilcd
914bb533-00e8-5507-afe0-74f564a0b636,,transport,processes/914bb533-00e8-5507-afe0-74f564a0b636.xml,1,kg,EU+EFTA+UK,transport,,,"The process includes transport of raw materials, direct emissions, energy use, ancillary products, a",scraped_from_ilcd
e4e014ff-f1c2-4038-8b94-23093eacdad7,,transport,processes/e4e014ff-f1c2-4038-8b94-23093eacdad7.xml,1,kg,RAS,transport,,,"Foreground system:
The metal waste is collected and transported to the recycling plant. The materia",scraped_from_ilcd
cd838732-d718-54bf-87cb-ccdd1aba785d,,transport,processes/cd838732-d718-54bf-87cb-ccdd1aba785d.xml,1,kg,EU+EFTA+UK,transport,,,"The process includes transport of raw materials, direct emissions, energy use, ancillary products, a",scraped_from_ilcd
c212a537-4040-4928-a5f1-1e37ba670ae4,,transport,processes/c212a537-4040-4928-a5f1-1e37ba670ae4.xml,1,kg,GLO,transport,,,"Truck as heavy or light duty vehicle for road transport. Variable parameters are: payload, utilisati",scraped_from_ilcd
de1ccf0e-437d-4dee-a938-358653fa7c50,,transport,processes/de1ccf0e-437d-4dee-a938-358653fa7c50.xml,1,kg,GLO,transport,,,"Foreground system:
Electronic waste is collected and transported to the recycling plant. The electr",scraped_from_ilcd
0ddd72ff-7396-434f-8217-19968cc19f66,,transport,processes/0ddd72ff-7396-434f-8217-19968cc19f66.xml,1,kg,EU+EFTA+UK,transport,,,"Foreground system:
The metal waste is collected and transported to the recycling plant. The materia",scraped_from_ilcd
9758f4e0-af5a-43ee-832c-3a24f0dff2b7,,transport,processes/9758f4e0-af5a-43ee-832c-3a24f0dff2b7.xml,1,kg,GLO,transport,,,"Foreground system:
The data set includes the truck production (<=7.5t gross weight) based on public",scraped_from_ilcd
