uuid,dataset_name,process_type,lci_file,fu_amount,fu_unit,region,classification,kg_per_m2,temp_c,technology,notes
20150f0c-6181-5834-8a60-332abc1d3e2e,,use_phase,processes/20150f0c-6181-5834-8a60-332abc1d3e2e.xml,1,kg,EU+EFTA+UK,use_phase,,,Thermobonding oven is used as a proxy because it used the same technology for carpet drying or non-w,scraped_from_ilcd
cb2b56d1-9202-5de2-a5aa-ba137ef2e75e,,use_phase,processes/cb2b56d1-9202-5de2-a5aa-ba137ef2e75e.xml,1,kg,EU+EFTA+UK,use_phase,,,"In this model, two machines are used for specialist maintenance, i.e. machine for cleaning synthetic",scraped_from_ilcd
cebe69c7-5866-55b8-9141-51ca9238b7cf,,use_phase,processes/cebe69c7-5866-55b8-9141-51ca9238b7cf.xml,1,kg,"WORLD (WITHOUT EU+EFTA+UK, US AND CA)",use_phase,,,The activity starts with the dried sawn wood from air and kiln drying with a gravimetric water conte,scraped_from_ilcd
ab5e4465-072d-5190-bb39-9008069c0149,,use_phase,processes/ab5e4465-072d-5190-bb39-9008069c0149.xml,1,kg,GLO,use_phase,,,"This data set is modelled as a mix of acid washing, enzyme washing, stone washing, and water-only wa",scraped_from_ilcd
fe47b897-1fff-594f-a6a3-7737f00693c6,,use_phase,processes/fe47b897-1fff-594f-a6a3-7737f00693c6.xml,1,kg,FI,use_phase,,,The activity starts with the dried sawn wood from air and kiln drying with a gravimetric water conte,scraped_from_ilcd
6e69a3e6-984b-5826-96bb-a835d3bc967d,,use_phase,processes/6e69a3e6-984b-5826-96bb-a835d3bc967d.xml,1,kg,EU+EFTA+UK,use_phase,,,The activity starts with the dried sawn wood from air and kiln drying with a gravimetric water conte,scraped_from_ilcd
0b602c5c-9b61-5946-b4c2-a5743b3e91f5,,use_phase,processes/0b602c5c-9b61-5946-b4c2-a5743b3e91f5.xml,1,kg,GLO,use_phase,,,Acid washing is normally carried out by tumbling the garments with pumice stones presoaked in a blea,scraped_from_ilcd
bc70167f-8393-5c88-8380-bb1503c9da6f,,use_phase,processes/bc70167f-8393-5c88-8380-bb1503c9da6f.xml,1,kg,EU+EFTA+UK,use_phase,,,"In in-line / automation oven, imoisture content can be used to drives the drying process rather than",scraped_from_ilcd
a2e6c77c-42c4-5b27-8254-d11e53d66a89,,use_phase,processes/a2e6c77c-42c4-5b27-8254-d11e53d66a89.xml,1,kg,GLO,use_phase,,,"The process steps covered within the processes contributing to this mix are:
- drying in electric ov",scraped_from_ilcd
64a6aac2-7cb4-5c1a-9c27-3b3bf8b83677,,use_phase,processes/64a6aac2-7cb4-5c1a-9c27-3b3bf8b83677.xml,1,kg,GLO,use_phase,,,The process starts at collecting and transporting; followed by washing and drying. The recovered inp,scraped_from_ilcd
425bbcb8-a52e-5e8e-8c89-623b07cdbf07,,use_phase,processes/425bbcb8-a52e-5e8e-8c89-623b07cdbf07.xml,1,kg,SE,use_phase,,,The activity starts with the dried sawn wood from air and kiln drying with a gravimetric water conte,scraped_from_ilcd
f4e6720c-92ca-575e-9f0f-df7846c31dc4,,use_phase,processes/f4e6720c-92ca-575e-9f0f-df7846c31dc4.xml,1,kg,"WORLD (WITHOUT EU+EFTA+UK, US AND CA)",use_phase,,,The activity starts with the dried sawn wood from air and kiln drying with a gravimetric water conte,scraped_from_ilcd
825256e9-c83d-5f66-9446-a6e5878c3982,,use_phase,processes/825256e9-c83d-5f66-9446-a6e5878c3982.xml,1,kg,GLO,use_phase,,,"There are several wawter based sizing material.
Washing with water helps get rid of PVA material (si",scraped_from_ilcd
