uuid,dataset_name,process_type,lci_file,fu_amount,fu_unit,region,classification,kg_per_m2,temp_c,technology,notes
42afbf78-5509-446a-b65b-8f53c49bc5dc,,utilities,processes/42afbf78-5509-446a-b65b-8f53c49bc5dc.xml,1,kg,RAF,utilities,,,"The data set represents the incineration of waste, details about the waste composition, water conten",scraped_from_ilcd
29badb80-d1f6-4591-94d7-ab92a9f5e9bf,,utilities,processes/29badb80-d1f6-4591-94d7-ab92a9f5e9bf.xml,1,kg,BE,utilities,,,"The data set represents the incineration of waste, details about the waste composition, water conten",scraped_from_ilcd
d348dff3-3a81-4312-adda-6826c62d1f6d,,utilities,processes/d348dff3-3a81-4312-adda-6826c62d1f6d.xml,1,kg,RAS,utilities,,,"The data set represents the incineration of waste, details about the waste composition, water conten",scraped_from_ilcd
cebe69c7-5866-55b8-9141-51ca9238b7cf,,utilities,processes/cebe69c7-5866-55b8-9141-51ca9238b7cf.xml,1,kg,"WORLD (WITHOUT EU+EFTA+UK, US AND CA)",utilities,,,The activity starts with the dried sawn wood from air and kiln drying with a gravimetric water conte,scraped_from_ilcd
96377442-d4f0-4810-a238-5d94e65b8363,,utilities,processes/96377442-d4f0-4810-a238-5d94e65b8363.xml,1,kg,IT,utilities,,,"The data set represents the incineration of waste, details about the waste composition, water conten",scraped_from_ilcd
458c9141-0247-4504-bd84-cff77c402552,,utilities,processes/458c9141-0247-4504-bd84-cff77c402552.xml,1,kg,IE,utilities,,,"The data set represents the incineration of waste, details about the waste composition, water conten",scraped_from_ilcd
fe47b897-1fff-594f-a6a3-7737f00693c6,,utilities,processes/fe47b897-1fff-594f-a6a3-7737f00693c6.xml,1,kg,FI,utilities,,,The activity starts with the dried sawn wood from air and kiln drying with a gravimetric water conte,scraped_from_ilcd
6b0ce8b1-6ab7-4cca-b65a-33a80a341b74,,utilities,processes/6b0ce8b1-6ab7-4cca-b65a-33a80a341b74.xml,1,kg,SE,utilities,,,"The data set represents the incineration of waste, details about the waste composition, water conten",scraped_from_ilcd
e32ae633-f94f-4493-83a5-b600a91a6669,,utilities,processes/e32ae633-f94f-4493-83a5-b600a91a6669.xml,1,kg,GLO,utilities,,,"The data set represents the incineration of waste, details about the waste composition, water conten",scraped_from_ilcd
6e69a3e6-984b-5826-96bb-a835d3bc967d,,utilities,processes/6e69a3e6-984b-5826-96bb-a835d3bc967d.xml,1,kg,EU+EFTA+UK,utilities,,,The activity starts with the dried sawn wood from air and kiln drying with a gravimetric water conte,scraped_from_ilcd
d288f9c1-6ca9-48a5-adbc-1100c303153e,,utilities,processes/d288f9c1-6ca9-48a5-adbc-1100c303153e.xml,1,kg,ES,utilities,,,"The data set represents the incineration of waste, details about the waste composition, water conten",scraped_from_ilcd
b561dd3d-156f-4bca-afc7-cac598f56825,,utilities,processes/b561dd3d-156f-4bca-afc7-cac598f56825.xml,1,kg,ROC,utilities,,,"The data set represents the incineration of waste, details about the waste composition, water conten",scraped_from_ilcd
cf50afa6-d85d-476c-b9d4-6783c47e31b5,,utilities,processes/cf50afa6-d85d-476c-b9d4-6783c47e31b5.xml,1,kg,LT,utilities,,,"The data set represents the incineration of waste, details about the waste composition, water conten",scraped_from_ilcd
9027b367-6fff-4119-a258-fc816400e529,,utilities,processes/9027b367-6fff-4119-a258-fc816400e529.xml,1,kg,HU,utilities,,,"The data set represents the incineration of waste, details about the waste composition, water conten",scraped_from_ilcd
57cc235c-e17b-44dd-92d1-deb93bcd48db,,utilities,processes/57cc235c-e17b-44dd-92d1-deb93bcd48db.xml,1,kg,NO,utilities,,,"The data set represents the incineration of waste, details about the waste composition, water conten",scraped_from_ilcd
951855b9-4387-446e-8c1e-d1f560989d6f,,utilities,processes/951855b9-4387-446e-8c1e-d1f560989d6f.xml,1,kg,EE,utilities,,,"The data set represents the incineration of waste, details about the waste composition, water conten",scraped_from_ilcd
fe26da3a-972b-43c3-820e-7ea1c1d7779a,,utilities,processes/fe26da3a-972b-43c3-820e-7ea1c1d7779a.xml,1,kg,AT,utilities,,,"The data set represents the incineration of waste, details about the waste composition, water conten",scraped_from_ilcd
e358dc52-db9b-4910-8534-e0e4fa6f40a2,,utilities,processes/e358dc52-db9b-4910-8534-e0e4fa6f40a2.xml,1,kg,EE,utilities,,,"The data set represents the incineration of waste, details about the waste composition, water conten",scraped_from_ilcd
